dmw	3 Early M	0 Mid M	7 Expanding M	1 Late M	10 Senescent M	5 Early E	13 Expanding E	4 Abaxial E	6 Adaxial E	8 Senescent E	14 Guard cell	2 Vasculature	11 PPP	9 Phloem	16 Myrosinase	12 S phase	15 G2M phase
dmw=14549	0.00878712911760482	0.007997420847769221	0.03247724572416477	-0.014354884562893022	0.005279642910320126	0.008709099237925844	0.05626571209441045	0.045152176942265365	0.03674226537795211	0.0121983106964485	0.010233994702436355	-0.01999993143148493	-0.013407767899301315	-0.23136891182014607	0.0625300708318508	-0.12000139504389629	0.005556871137992969
dmw=14550	0.015994880935280897	0.0030858654127982055	0.01926027625479121	-0.025443373279714243	-0.023666706731474307	0.05287903302379782	-0.0066092702043332174	0.04267203498096639	0.030537294293826123	0.017578597270905494	0.030376051778544966	0.04016575961638491	0.06726746402187067	-0.2815209012608558	0.05639859103310274	0.0023311051865683163	0.053807126820474616
dmw=14561	0.1685927857792323	0.152907607066315	-0.13660660100447952	0.11476357361604689	-0.001999155044918932	-0.20533599277300296	-0.4916348013738454	-0.2386569637429902	-0.28119761454165637	-0.14338999465340307	-0.35377468077771446	0.10279406049110851	0.09607916956203316	0.19194250061976564	0.07034524417446103	-0.12527532559088084	-0.21134272126014725
dmw=14575	-0.010055049927962023	0.002450079744228284	-0.229382189599224	0.013249960474678246	-0.12955177078360117	-0.022237784996886167	-0.06520084787485719	0.027478347558997196	0.1483057321935678	0.12808482075724187	0.018827145505751985	-0.04247154252325569	0.107671161769542	0.0797049588869001	0.17464134969103778	-0.07294607855586799	-0.07992772423169164
dmw=14584	0.10531721774856417	0.06867637968800933	0.006072529229051327	0.09767791921872349	-0.09048748085760672	-0.09288664069518138	-0.17737577462752074	-0.06054215489690007	-0.15350250149856726	-0.02664140498733203	-0.048427782660880214	-0.09296877546527671	-0.14945328249024825	-0.007668184180186777	0.35480452574689136	0.051621423963533974	-0.2844362966768833
dmw=14599	0.030118406444862744	0.004284360406445198	0.004712894509752097	-0.002381621449371818	0.05073686685069001	0.060554498152448955	0.04375079360313694	0.023218128078137168	0.014651681930077598	-0.0014126211848654036	-0.0388601523851142	0.007142266199298586	-0.015155597066733528	-0.05273385708368561	-0.08029091391360221	-0.17273805198608272	0.026192708932340603
dmw=14600	0.007149721103917539	0.01700581795239542	-0.013407111614618383	0.024606399496725495	-0.02723002235565819	-0.053311529456152806	-0.0002213648292098691	0.015732385465114462	-0.0038846801732983494	0.023038415241149912	-0.26326142712891787	-0.006069694892269162	-0.05945134149020548	-0.014428864823482379	-0.11478160814218896	-0.1473830734572804	-0.043178984684783095
dmw=14603	-0.002032850265597186	-0.0016675079814589822	0.012258112403770616	-0.004222812821508604	-0.008855852965587552	0.06516041768934422	-0.031315493025107055	0.034626167209153014	0.0010033955424278984	0.0006027845298643975	0.08848679099793821	0.02883519561827741	0.06950219533081392	-0.12113199883054482	-0.16170775104641777	-0.020745132784034892	0.04981235113669458
dmw=14604	0.07599753449679836	0.017815745447219977	0.020623888641148058	0.008066380544683005	0.01995249201271576	-0.046238173388688186	0.008102920177921247	0.033495195145293644	0.004106143071337165	0.03844099372291432	0.047822011364028194	0.0060423420665915994	-0.02764121010616538	-0.315826648545298	-0.2423784908109914	-0.18122948526215044	0.040338557792374274
dmw=14607	0.09866331128793027	0.10023649993382455	-0.09146485830444606	0.05790068474345095	-0.1961891783882702	0.048355005156368036	-0.3100728902261234	-0.13717311454632009	-0.12986219358719697	-0.09685900848302947	0.2590342115936577	-0.07401686074665709	-0.021243177778045463	-0.08651564473519469	0.13801893738222276	0.10463960564557395	0.13375953758477332
