item,cluster,raw_fraction,residual,z_score,coverage
dmw=10836,13,0.2827586206896552,-0.1747646933177402,-1.2345354025814723,145
dmw=10843,14,0.0,-0.2711781643758415,-2.366980895757992,15
dmw=10843,12,0.0,-0.1865377162480748,-1.560301066499828,70
dmw=10843,10,0.03896103896103896,-0.14056544251095865,-1.1221546867348495,77
dmw=10910,7,0.07489878542510121,-0.10226080646225495,-2.148615589569,494
dmw=10910,3,0.13859649122807016,-0.05718293961275328,-1.4339357592316404,570
dmw=10910,1,0.08840061318344404,-0.05433369276005086,-1.3887628307060502,1957
dmw=10913,7,0.08923076923076922,-0.2529117108731123,-2.8760657445972386,325
dmw=10920,15,0.55,-0.3254862553624478,-2.5142570931092134,80
dmw=10920,6,0.632258064516129,-0.20760398940818015,-1.577876777856099,310
dmw=10920,4,0.6717557251908397,-0.166819121909226,-1.2539082251898053,524
dmw=10932,7,0.03488372093023256,-0.06082967217804119,-1.2076539896545084,172
dmw=10932,0,0.032423208191126277,-0.05536823222470556,-1.146148063847798,586
dmw=10937,5,0.18087855297157623,-0.2897379706094975,-1.860394125358576,387
dmw=10937,4,0.20155038759689922,-0.21141409099223205,-1.3133295355087116,258
dmw=10937,6,0.20930232558139536,-0.20597674042387606,-1.2753515654045355,258
dmw=10937,3,0.2857142857142857,-0.17992881286344065,-1.0934160065823522,490
dmw=10963,14,0.0,-0.24708158427106966,-2.963173847681668,24
dmw=10971,11,0.06153846153846154,-0.6833538506456542,-3.070368346700266,65
dmw=10971,9,0.27586206896551724,-0.35156155046676363,-1.5189767320913727,87
dmw=10971,2,0.5163551401869159,-0.2449850653090685,-1.0206473094405426,428
dmw=10996,9,0.7449664429530202,-0.13057930190551026,-2.257475616367182,149
dmw=10996,12,0.7926829268292683,-0.11559072217454369,-1.9664090066690805,82
dmw=10996,8,0.8481675392670157,-0.0769077765246362,-1.2152161621467517,191
dmw=11000,7,0.1111111111111111,-0.38974304970036616,-3.400894479088957,180
dmw=11001,7,0.14285714285714285,-0.5277104717513417,-2.8234570287592518,112
dmw=11001,15,0.42857142857142855,-0.28691906702597497,-1.5646631485047366,14
dmw=11029,4,0.10829103214890017,-0.3958276268824566,-1.7144933574090733,591
dmw=11029,8,0.18110236220472442,-0.3453813592870296,-1.4880323907447843,127
dmw=11029,6,0.16666666666666666,-0.339836667607639,-1.4631414266076461,318
dmw=11073,1,0.04919519383359782,-0.06348340217437332,-1.5655593301393576,4411
dmw=11073,0,0.0751864125932063,-0.05472609088186467,-1.443550254161514,4828
dmw=11074,13,0.0898876404494382,-0.6223533054609539,-2.3541271424475907,89
dmw=11074,8,0.26373626373626374,-0.44350874916577826,-1.6196846956076987,91
dmw=11074,14,0.4375,-0.321169378858311,-1.1172862534366548,16
