DMW,Cluster,Raw_Fraction,Residual,Z_Score,Coverage
dmw=19861,0,0.5563605369699552,-0.04962630228674414,-0.6650428626309192,4693
dmw=15649,0,0.4563146997929607,-0.049578756554844894,-1.0426645440074704,2415
dmw=14383,0,0.40990516332982085,-0.04933766967695841,-0.6367258039052494,4745
dmw=11334,0,0.3382059800664452,-0.049157878541577216,-0.9958079087474639,1505
dmw=18498,0,0.42292490118577075,-0.04882887469363684,-0.8388063992339027,1518
dmw=2594,0,0.02704485488126649,-0.048432949886059416,-0.9128101353936371,1516
dmw=19210,0,0.19280035335689047,-0.04819440497763916,-0.7119556343847354,4528
dmw=2877,0,0.29305296779345225,-0.048099724141367095,-0.985571530886491,3757
dmw=1200,0,0.17054263565891473,-0.048003112421871774,-1.0133780370748044,5160
dmw=4431,0,0.39950372208436724,-0.04792814302461784,-0.8694089060884832,1612
dmw=19523,0,0.3989317995069844,-0.047824668902914313,-1.052864444438542,2434
dmw=12680,0,0.3474576271186441,-0.04776006440270547,-1.099942211234657,3894
dmw=19385,0,0.2938986556359876,-0.04725521149944889,-1.281932477623173,4835
dmw=2742,0,0.523741690408357,-0.04711514948363382,-0.6975769006939259,2106
dmw=6116,0,0.5902192242833052,-0.0470042577955726,-0.6165424194965866,2965
dmw=6458,0,0.546032623721316,-0.04673966571720323,-0.6775851085066896,10851
dmw=6196,0,0.5382818307316555,-0.04664929749380853,-1.134669927245709,9417
dmw=487,0,0.2999664091367148,-0.046618586565428444,-0.9985034759695567,2977
dmw=22025,0,0.3607369255150555,-0.04660448949441387,-1.4458108722135343,5048
dmw=6654,0,0.5153649167733675,-0.04658504490045157,-1.0812764434313342,3124
dmw=19707,0,0.5515080868424888,-0.046569391021598405,-0.5914662030873529,13726
dmw=14450,0,0.5137021716649431,-0.04645828325620838,-0.88386293014833,3868
dmw=19612,0,0.4957047406936048,-0.04636908301636944,-0.6855573007219246,3143
dmw=18227,0,0.30161830357142855,-0.0458081379590593,-1.1212982742253021,3584
