item,cluster,raw_fraction,residual,z_score,coverage,dmw_id,gene
dmw=678,3,0.3015075376884422,-0.09940520306202494,-1.0975291934658893,398,dmw=678,AT1G09160
dmw=6825,7,0.1712707182320442,-0.19168787852606817,-1.9973080807521504,543,dmw=6825,AT2G16500
dmw=6825,1,0.19623329283110572,-0.10961579489319609,-1.4076582560541662,1646,dmw=6825,AT2G16500
dmw=6825,0,0.23172323759791122,-0.10954167706958604,-1.4071257538955253,1532,dmw=6825,AT2G16500
dmw=6825,3,0.30787589498806683,-0.08393191658937565,-1.2231315123789723,419,dmw=6825,AT2G16500
dmw=6825,10,0.22330097087378642,-0.07996613534238362,-1.1946392149549208,103,dmw=6825,AT2G16500
dmw=6831,15,0.30303030303030304,-0.35832468006402723,-2.6761401196455616,33,dmw=6831,AT2G16586
dmw=6831,14,0.4339622641509434,-0.23854641043230584,-1.769299622357245,53,dmw=6831,AT2G16586
dmw=685,11,0.5694444444444444,-0.1465501605548165,-1.5687574943082765,72,dmw=685,AT1G09245
dmw=685,13,0.5925925925925926,-0.1307373055232015,-1.3937150273775942,81,dmw=685,AT1G09245
dmw=685,2,0.604,-0.1296394245117347,-1.3815618899296584,250,dmw=685,AT1G09245
dmw=6918,6,0.6549295774647887,-0.18633900961069505,-1.7915997231512253,142,dmw=6918,AT2G17550
dmw=6918,11,0.6774193548387096,-0.17270900971022096,-1.6398864991869457,31,dmw=6918,AT2G17550
dmw=6918,4,0.7046413502109705,-0.13534918193142753,-1.2240405739882336,237,dmw=6918,AT2G17550
dmw=6918,15,0.76,-0.11662585582350293,-1.0156343973257522,25,dmw=6918,AT2G17550
dmw=6922,13,0.27358490566037735,-0.24788023558476852,-1.9747643355320226,106,dmw=6922,AT2G17630
dmw=6922,7,0.35459183673469385,-0.16124173604642866,-1.285504644852308,392,dmw=6922,AT2G17630
dmw=6922,4,0.36153846153846153,-0.13148764819430403,-1.0487935579949343,520,dmw=6922,AT2G17630
dmw=6931,8,0.21839080459770116,-0.2909718696826163,-2.028303853928533,174,dmw=6931,AT2G17730
dmw=6931,13,0.26506024096385544,-0.2503615416871689,-1.7123162044142461,83,dmw=6931,AT2G17730
dmw=6946,8,0.2733333333333333,-0.09356056141085406,-1.0454401045472088,150,dmw=6946,AT2G17880
dmw=6946,6,0.25524475524475526,-0.09326762102713043,-1.0429049782761792,286,dmw=6946,AT2G17880
dmw=6946,4,0.25311203319502074,-0.09323746033818425,-1.0426439655952786,482,dmw=6946,AT2G17880
dmw=7037,2,0.5944584382871536,-0.18167112806240415,-2.25726149781967,397,dmw=7037,AT2G18960
dmw=7037,9,0.538961038961039,-0.1076991378084231,-1.3907075833986364,154,dmw=7037,AT2G18960
dmw=7038,9,0.7045454545454546,-0.173039413109641,-2.9093722851456096,132,dmw=7038,AT2G18960
dmw=7038,10,0.84,-0.06591012898505011,-1.1471652005555195,75,dmw=7038,AT2G18960
dmw=7038,11,0.8666666666666667,-0.058874326664474674,-1.0314308259967016,75,dmw=7038,AT2G18960
dmw=7074,10,0.5261044176706827,-0.11785500159882611,-2.005407534415977,249,dmw=7074,AT2G19390
dmw=7074,0,0.6020671834625323,-0.08074304913955199,-1.568490344429499,2709,dmw=7074,AT2G19390
dmw=7074,1,0.5705353653771005,-0.07621412466142241,-1.515171539421414,2559,dmw=7074,AT2G19390
dmw=7084,4,0.18407960199004975,-0.14934052390190988,-1.5039605310652473,402,dmw=7084,AT2G19420
dmw=7084,14,0.3064516129032258,-0.10939662578466808,-1.130807540675283,62,dmw=7084,AT2G19420
dmw=7108,13,0.4583333333333333,-0.14384998621980422,-1.3667509147479464,120,dmw=7108,AT2G19670
dmw=7108,4,0.43795620437956206,-0.13667206048854896,-1.298892199405623,548,dmw=7108,AT2G19670
dmw=7108,8,0.4647887323943662,-0.13157075517406752,-1.2506654500395298,142,dmw=7108,AT2G19670
dmw=7161,6,0.085,-0.4381612415769302,-1.8290913929324168,400,dmw=7161,AT2G20250
dmw=7161,13,0.16101694915254236,-0.3880699962693578,-1.5906352650488222,118,dmw=7161,AT2G20250
dmw=7161,8,0.1728395061728395,-0.37023610572541055,-1.5057381845690396,162,dmw=7161,AT2G20250
